date,open,high,low,close,volume
8/8/2017,357.53,368.58,357.4,365.22,7431838
8/7/2017,357.35,359.48,352.75,355.17,6309331
8/4/2017,347,357.27,343.3,356.91,9233295
8/3/2017,345.33,350,343.15,347.09,13524270
8/2/2017,318.94,327.12,311.22,325.89,11942350
8/1/2017,323,324.45,316.13,319.57,8284997
7/31/2017,335.5,341.49,321.04,323.47,8525454
7/28/2017,336.89,339.6,332.51,335.07,4869891
7/27/2017,346,347.5,326.29,334.46,8285879
7/26/2017,340.36,345.5,338.12,343.85,4809514
7/25/2017,345,345.6,334.15,339.6,6977932
7/24/2017,330.24,343.399,330.01,342.52,8598292
7/21/2017,329.46,331.2575,325.8,328.4,4871708
7/20/2017,326.9,330.22,324.2,329.92,5142516
7/19/2017,328.23,331.65,323.2193,325.26,6345884
7/18/2017,317.5,329.13,315.66,328.24,6360710
7/17/2017,325.54,327.1,313.45,319.57,9827506
7/14/2017,323.19,328.42,321.22,327.78,5607924
7/13/2017,330.11,331.6,319.97,323.41,8582315
7/12/2017,330.4,333.1,324.5,329.52,10317240
7/11/2017,316,327.28,314.3,327.22,11526760
7/10/2017,312.9,317.94,303.13,316.05,13760290
7/7/2017,313.5,317,307.38,313.22,14129950
7/6/2017,317.26,320.7899,306.3,308.83,19258040
7/5/2017,347.2,347.24,326.33,327.09,16998300
7/3/2017,370.24,371.35,351.5,352.62,6305401
6/30/2017,363.71,366.7674,359.6187,361.61,5823046
6/29/2017,370.61,371,354.1,360.75,8202463
6/28/2017,366.68,371.74,362.52,371.24,6290323
6/27/2017,376.4,376.4,362.02,362.37,6977494
6/26/2017,386.69,386.95,373.1,377.49,6596854
6/23/2017,382.45,386.99,379.345,383.45,6425180
6/22/2017,377.99,385,373.57,382.61,7510406
6/21/2017,374.35,376.99,368.02,376.4,4916770
6/20/2017,376.67,378.88,369.73,372.24,7419110
6/19/2017,375,376.7,367.8,369.8,6433434
6/16/2017,377.975,378.01,370.1,371.4,6347450
6/15/2017,372.5,375.46,366.49,375.34,10412650
6/14/2017,381.085,384.25,376.31,380.66,12778480
6/13/2017,367.62,376,366.61,375.95,11773370
6/12/2017,357.99,364.5,350.62,359.01,10507860
6/9/2017,374.42,376.87,354.8,357.32,17250060
6/8/2017,363.75,371.9,360.22,370,9028677
6/7/2017,356.34,360.5,355.14,359.65,9348692
6/6/2017,344.7,359.4929,339.97,352.85,11031920
6/5/2017,338.5,348.44,334.21,347.32,6769174
6/2/2017,339.77,342.88,335.93,339.85,5583952
6/1/2017,344,344.88,337.29,340.37,7601764
5/31/2017,337.69,342.89,335.16,341.01,9937556
5/30/2017,326,336.28,325.76,335.1,7771536
5/26/2017,317.28,325.49,316.31,325.14,7793009
5/25/2017,311.02,316.97,307.81,316.83,5000432
5/24/2017,306.51,311,305.4,310.22,5035192
5/23/2017,310.46,310.73,303.48,303.86,4314267
